handcrafted,tot,grouplabels
0.009028,149.801,16
0.009028,149.806,16
0.009028,149.787,16
0.009028,149.765,16
0.009028,149.779,16
0.009028,149.792,16
0.009028,149.767,16
0.009028,149.852,16
0.009028,149.794,16
0.009028,149.636,16
0.009028,149.763,16
0.483556,149.798,17
0.483556,149.767,17
0.483556,149.815,17
0.483556,149.803,17
0.483556,149.863,17
0.483556,149.85,17
0.483556,149.572,17
0.483556,149.769,17
0.483556,149.764,17
0.483556,149.763,17
0.483556,149.782,17
0.483556,149.848,17
0.483556,149.797,17
0.483556,149.829,17
0.483556,149.84,17
0.483556,149.781,17
17.8248,149.712,18
17.8248,149.774,18
17.8248,149.837,18
17.8248,149.798,18
17.8248,149.729,18
17.8248,149.762,18
17.8248,149.742,18
17.8248,149.686,18
17.8248,149.806,18
17.8248,149.689,18
17.8248,149.808,18
17.8248,149.834,18
17.8248,149.745,18
17.8248,149.804,18
17.8248,149.766,18
17.8248,149.842,18
0.569987,149.755,19
0.569987,144.83,19
0.569987,149.668,19
0.569987,149.773,19
0.569987,149.794,19
0.569987,149.77,19
0.569987,149.799,19
0.569987,149.801,19
