handcrafted_solvetime,tot_solvetime,handcrafted_objective,tot_objective,grouplabels
149.883,149.624,2,16,15
149.883,149.695,2,16,15
149.883,149.74,2,16,15
149.883,149.632,2,16,15
149.883,149.599,2,18,15
149.883,149.57,2,16,15
149.883,149.743,2,16,15
0.087,0.098,5,9,16
0.087,10.29,5,9,16
0.087,13.252,5,9,16
0.087,149.772,5,20,16
0.087,149.765,5,20,16
0.087,0.092,5,9,16
0.087,0.163,5,9,16
0.087,0.11,5,9,16
0.087,0.13,5,9,16
0.087,0.104,5,9,16
0.087,0.1,5,9,16
0.087,0.144,5,9,16
0.087,0.297,5,9,16
0.087,0.107,5,9,16
0.087,0.215,5,9,16
0.019,0.059,2,3,17
0.019,0.086,2,3,17
0.019,0.051,2,3,17
0.019,0.049,2,3,17
0.019,0.049,2,3,17
0.019,0.032,2,3,17
0.019,0.045,2,3,17
0.019,0.191,2,3,17
0.019,0.044,2,3,17
0.019,0.039,2,3,17
0.019,0.032,2,3,17
0.019,0.039,2,3,17
0.019,0.072,2,3,17
0.019,0.265,2,3,17
0.019,0.044,2,3,17
0.019,0.03,2,3,17
0.039,0.083,4,5,18
0.039,0.037,4,5,18
0.039,0.239,4,5,18
0.039,0.037,4,5,18
0.039,0.032,4,5,18
0.039,0.034,4,5,18
0.039,0.032,4,5,18
0.039,0.042,4,5,18
0.039,0.043,4,5,18
0.039,0.043,4,5,18
0.039,26.577,4,5,18
0.039,0.168,4,5,18
0.039,0.05,4,5,18
0.039,0.052,4,5,18
0.039,0.06,4,5,18
0.09,0.459,4,5,19
0.09,27.486,4,5,19
0.09,0.135,4,5,19
0.09,24.121,4,5,19
0.09,0.103,4,5,19
0.09,0.469,4,5,19
0.09,0.137,4,5,19
0.09,0.137,4,5,19
0.09,0.134,4,5,19
0.09,0.143,4,5,19
0.09,0.164,4,5,19
0.09,0.121,4,5,19
0.09,0.156,4,5,19
0.09,0.125,4,5,19
0.09,0.137,4,5,19
0.09,0.141,4,5,19
0.064,0.061,6,6,0
0.064,0.06,6,6,0
0.064,0.061,6,6,0
0.064,0.094,6,6,0
0.064,0.079,6,6,0
0.064,149.776,6,20,0
0.064,0.087,6,6,0
0.064,149.766,6,20,0
0.064,0.084,6,6,0
0.064,0.094,6,6,0
0.064,0.36,6,6,0
0.064,0.187,6,6,0
0.064,149.371,6,14,0
0.018,0.066,1,1,1
0.018,0.046,1,1,1
0.018,0.057,1,1,1
0.018,0.062,1,1,1
0.018,0.032,1,1,1
0.018,0.046,1,1,1
0.018,0.033,1,1,1
0.018,1.592,1,4,1
0.018,6.506,1,4,1
0.018,12.907,1,1,1
0.018,8.026,1,1,1
0.016,11.496,1,4,2
0.016,0.001,1,20,2
0.016,0.815,1,1,2
0.016,0.06,1,1,2
0.016,0.069,1,1,2
0.016,0.051,1,1,2
0.016,0.036,1,1,2
0.016,0.054,1,1,2
0.031,0.289,2,4,3
0.031,149.767,2,20,3
0.031,0.05,2,4,3
0.031,0.071,2,4,3
0.031,0.082,2,4,3
0.031,0.428,2,4,3
0.031,0.075,2,4,3
0.031,0.066,2,4,3
0.031,0.316,2,4,3
0.031,0.07,2,4,3
0.031,0.057,2,4,3
0.031,149.662,2,20,3
0.031,0.149,2,4,3
0.031,0.127,2,4,3
0.031,0.088,2,4,3
0.023,0.059,6,7,4
0.023,0.087,6,7,4
0.023,0.09,6,7,4
0.023,0.185,6,7,4
0.023,0.098,6,7,4
0.023,0.051,6,7,4
0.023,0.054,6,7,4
0.023,0.402,6,7,4
0.023,149.691,6,20,4
0.023,0.252,6,7,4
0.023,0.313,6,7,4
0.023,0.07,6,7,4
0.023,0.051,6,7,4
0.023,0.049,6,7,4
0.023,0.096,6,7,4
0.023,0.052,6,7,4
0.017,0.047,1,1,5
0.017,0.06,1,1,5
0.017,0.063,1,1,5
0.017,0.046,1,1,5
0.017,0.004,1,20,5
0.017,0.011,1,20,5
