solvetime_diff,handcrafted_obj,tot_obj,count
0.047,1,1,2
0.06,1,1,1
0.063,1,1,1
0.046,1,1,2
0.004,1,20,1
0.011,1,20,1
0.044,1,1,1
149.723,1,20,1
149.613,1,20,1
0.159,1,1,1
0.19,1,1,1
0.046,3,5,1
0.09,3,5,1
0.042,3,5,1
0.078,3,5,4
16.614,3,5,1
22.173,3,5,1
0.049,3,5,2
0.1,3,5,1
0.05,3,5,1
0.301,3,5,1
0.203,3,5,1
0.066,3,5,1
0.104,1,1,1
0.056,1,1,1
0.069,1,1,1
0.003,1,20,1
0.055,1,1,3
0.079,1,1,1
149.618,1,20,1
149.652,1,20,1
0.047,1,1,2
0.073,1,1,3
0.042,1,1,1
0.067,1,1,1
0.062,1,1,2
0.074,1,1,1
0.086,1,1,1
0.04,1,1,2
2.05,5,6,1
86.392,5,6,1
2.169,5,6,1
2.991,5,6,1
1.275,5,6,2
2.226,5,6,1
1.914,5,6,1
1.798,5,6,1
2.792,5,6,1
1.146,5,6,1
0.883,5,6,1
1.165,5,6,1
68.004,5,6,1
72.561,5,6,1
14.362,5,7,1
11.172,5,7,1
9.87,5,7,1
20.225,5,7,1
16.22,5,7,1
15.405,5,7,1
9.993,5,7,1
14.293,5,7,1
13.539,5,7,1
14.316,5,7,1
149.62,5,18,1
18.882,5,7,1
16.015,5,7,1
27.26,5,7,1
55.913,5,7,1
0.291,3,4,1
0.102,3,4,1
149.792,3,20,1
0.385,3,4,1
0.088,3,4,1
24.904,3,4,1
0.09,3,4,1
0.111,3,4,1
0.065,3,4,2
0.409,3,4,1
0.084,3,4,1
0.206,3,4,1
0.399,3,4,1
0.068,3,4,1
0.325,7,7,2
0.351,7,7,1
0.575,7,7,1
149.787,7,20,1
149.781,7,20,1
0.322,7,7,1
0.486,7,7,1
0.098,5,5,1
0.091,5,5,1
0.1,5,5,3
0.092,5,5,3
0.078,5,5,1
68.649,5,5,1
0.817,5,5,1
0.157,5,5,1
0.206,5,5,1
0.112,5,5,1
0.12,5,5,1
0.123,5,5,2
0.102,5,5,2
4.117,13,13,1
4.137,13,13,1
10.947,13,13,1
10.778,13,13,1
4.325,13,13,1
4.289,13,13,1
10.774,13,13,1
4.627,13,13,1
8.964,13,13,1
9.159,13,13,1
149.788,2,16,1
149.689,2,16,1
